obj_id,spec_obj_id,u,g,r,i,z,redshift,class,split
1237660961324794112,1427680713502648320,23.01294,20.46514,18.83662,18.16925,17.73204,0.3466544,GALAXY,train
1237667431716028672,1.2786905858128e+19,21.65936,21.73216,21.61713,21.60229,21.24192,1.007728,QSO,train
1237663478725412096,10366217195781117952,22.92673,23.03158,22.75313,21.40591,20.70943,0.8201154,GALAXY,train
1237678858469572864,6933510808703096832,22.7706,22.25927,20.1723,19.13553,18.60195,0.5075994,GALAXY,train
1237678858473767168,6968378246531667968,22.29616,20.17357,18.60767,17.99611,17.59206,0.2520262,GALAXY,train
1237657401335677696,1.1582278987528e+19,21.78552,21.67436,21.9174,20.55012,19.68962,0.0,GALAXY,train
1237653652374946560,6970641866279901184,22.72659,22.31748,20.5118,19.45051,18.86085,0.5326954,GALAXY,train
1237662336792985856,1583105477225506816,20.75533,18.52615,17.34166,16.82644,16.42062,0.1566293,GALAXY,train
1237662336791282432,5591429864567887872,25.519,22.20538,20.10958,19.10345,18.64843,0.5283154,GALAXY,train
1237662336795083776,5635256673583257600,24.82672,21.61567,19.70549,18.88857,18.48836,0.4425065,GALAXY,train
1237662341081924096,5313294929707161600,22.83827,19.99337,18.49053,17.86074,17.50969,0.272813,GALAXY,train
1237662341092540672,4705197103831603200,25.19646,21.77507,20.79209,19.86567,19.89753,0.5948668,GALAXY,train
1237662341086642432,1567391256135362560,19.1855,18.02785,17.46046,17.14015,16.97431,0.08925132,GALAXY,train
1237664673251655936,2239485071859935232,22.14838,20.87264,19.02323,18.41182,18.33893,0.3488444,GALAXY,train
1237662341086969856,5318964286638544896,25.1444,22.24196,20.59213,19.56918,19.08057,0.5246236,GALAXY,test
1237662341093458432,1764331111850207232,20.64171,18.761,17.38466,16.83926,16.41518,0.1709112,GALAXY,train
1237662341081726976,1560637510894249984,19.6081,18.12493,17.494,17.12954,16.9521,0.08400773,GALAXY,train
1237662341092410112,4705208923581601792,22.08841,19.65585,18.15532,17.59347,17.20853,0.2538029,GALAXY,train
1237662341084873216,5321191896693102592,25.9803,21.89943,20.07695,19.12181,18.63752,0.4925865,GALAXY,train
1237680272038625792,6889498456781772800,22.74328,22.04119,21.13037,19.93169,19.81143,0.6866302,GALAXY,train
1237680272036135424,5653151227204360192,22.11101,19.30047,17.9669,17.3835,16.94589,0.2032944,GALAXY,train
1237657589784838400,9264087901603649536,21.77434,21.65529,21.77547,21.72382,21.66425,1.93908,QSO,test
1237657589775073536,8237288615077763072,20.87676,20.61914,20.55744,20.54716,20.15146,1.040196,QSO,train
1237658423538156032,1333114187399849984,18.75124,17.35669,16.6507,16.25624,16.03383,0.08687948,GALAXY,test
1237678858476323072,12432275973768239104,20.53318,20.37871,20.16658,20.12587,20.13796,0.910454,QSO,train
1237678858476847616,6986451468074375168,22.864,20.99637,20.77479,20.60149,20.42078,-0.0005969275,STAR,train
1237663478724166656,10377562236113934336,24.3689,24.89395,23.60455,22.12098,22.23246,0.7347449,GALAXY,train
1237680262925320448,8045813610604419072,23.96082,20.7098,19.48951,18.539,17.99627,0.512866,GALAXY,train
1237660751945990656,1844345044002170880,23.78648,22.61023,19.79689,18.18796,17.0124,0.0001033789,STAR,train
1237657401337577984,4228953534861957120,24.59952,21.29358,19.79466,18.96994,18.36362,0.3249989,GALAXY,train
1237666246297190656,8621018458099046400,22.70525,22.38366,22.10573,22.19179,21.8687,1.3983,QSO,train
1237673709868024576,4299912992248846336,25.72517,22.3239,20.83764,19.82272,19.33796,0.564565,GALAXY,train
1237662194526519808,9438669733845293056,25.10932,23.02978,21.6433,20.57167,19.76941,0.0004171139,STAR,train
1237662194527502592,9439788486842669056,23.33354,22.08951,21.85797,22.16238,22.55171,2.188856,QSO,test
1237671125369946880,5952884420621129728,23.13947,21.44235,20.37401,19.22886,18.55112,0.6977692,GALAXY,test
1237661972268581120,5477728817400535040,20.16308,19.48441,19.33299,19.2896,19.08112,2.369899,QSO,train
1237665126937920000,7305112755639703552,21.25551,21.1894,20.11088,19.40883,19.03537,0.521283,GALAXY,train
1237657608575975680,9323784504652093440,20.49408,20.2065,20.22691,20.19625,19.82982,2.156938,QSO,train
1237655108370498304,7978239551532718080,22.21266,20.47113,18.82083,18.18008,17.76504,0.3701703,GALAXY,train
1237666211929851904,2471471862589188096,22.25522,20.6308,19.96252,19.69811,19.4611,-0.0006081365,STAR,train
1237667538011554048,3659213811824566272,20.64593,19.19186,18.71879,18.54982,18.57035,0.02476665,GALAXY,train
1237667537996678144,5070063713287165952,24.80904,24.19171,22.57484,19.67837,17.97654,0.0002365066,STAR,train
1237661971725484288,5443941929674102784,26.30048,22.7609,20.80001,19.7631,19.23547,0.4799453,GALAXY,train
1237664817673404672,5196105130148386816,24.42061,20.62309,18.91562,18.34712,18.0602,0.3306466,GALAXY,train
1237652944786817792,6955978228868864000,23.59629,22.13309,20.78996,19.82567,19.41473,0.4689722,GALAXY,test
1237666184568308480,8675068525961041920,23.93912,22.92743,21.78178,20.69582,19.83773,0.6862542,GALAXY,test
1237670961090330880,3614186336648536064,21.8015,18.61152,17.18664,16.54847,16.14959,3.690221e-05,STAR,train
1237661972252525312,6045072703542810624,25.08139,22.03635,21.83119,21.71758,21.24758,0.0002660389,STAR,train
1237662268080915200,5412459332838381568,21.23949,20.39086,20.35097,20.25421,19.90627,2.290692,QSO,train
1237678439702725376,4793200361828800512,25.76758,22.40062,20.49454,19.55738,19.04092,0.524215,GALAXY,train
1237680122252427776,8061622938980603904,22.40024,22.38897,20.59912,19.78579,19.13067,0.5170577,GALAXY,train
1237654606395474432,5404532678417733632,22.33767,21.74014,20.67626,19.84993,19.52213,0.6578612,GALAXY,train
1237660961326433024,5837808434582673408,23.83978,22.87262,20.98026,19.61335,18.91918,0.7165546,GALAXY,train
1237660961329774848,1434453156414121984,21.66945,19.51412,18.1168,17.60705,17.25109,0.2340868,GALAXY,train
1237664879951283200,1.2810655032984e+19,25.01055,25.68188,22.08467,20.87707,19.95657,0.8152969,GALAXY,train
1237660961330365184,11533916970660681728,22.83775,22.53633,21.14728,20.04436,19.34116,0.625698,GALAXY,test
1237660961329840384,6541664382891612160,21.29609,19.22355,17.69948,17.08743,16.75041,0.2301247,GALAXY,train
1237678858476388352,12432264428896147456,20.22819,20.18983,19.53547,19.50299,19.35294,1.319689,QSO,test
1237678858479796480,5254806410882209792,21.27749,20.74533,20.38233,20.25976,19.89784,0.847156,QSO,train
1237662341085921536,1566265631022540800,17.95408,16.60142,15.99984,15.61901,15.42194,0.07876735,GALAXY,train
1237678858475209216,6975213085402617856,24.67206,22.2909,20.96209,19.79067,19.14412,0.5262727,GALAXY,test
1237678858481369344,5253543621173729280,24.91774,20.74357,18.8595,18.18621,17.75864,0.3322576,GALAXY,test
1237661435387772928,7597647170175784960,21.48696,19.95936,19.76283,18.92081,19.5129,0.1754265,GALAXY,train
1237663782591136256,1.0527405057603e+19,23.19134,22.69088,21.71342,21.21746,21.42393,0.6868312,GALAXY,train
1237663478721807872,10399993099430680576,23.68024,22.93109,22.38346,21.54711,21.80262,0.912237,GALAXY,train
1237650370484306176,4252550423834286080,20.71064,20.22823,19.8522,19.59367,19.34152,2.875383,QSO,train
1237650370473951488,4262744002057754624,24.64835,22.00048,21.63793,21.72727,22.06267,3.892739,QSO,train
1.237662341093e+18,4705149549953701888,21.94553,21.44538,19.54981,18.87251,18.44153,0.3766502,GALAXY,test
1237678858463871232,5685850159164184576,21.26236,20.68755,20.53071,20.42182,20.13542,2.3171,QSO,train
1237657589786018304,9248265386973222912,22.25055,20.72246,20.20829,19.9893,19.95151,-0.0001066996,STAR,train
1.237680272036e+18,5662321976917907456,25.10085,22.3726,20.71808,19.5564,18.878,0.5577476,GALAXY,train
1237663478726460160,10304391113470138368,22.65379,22.52258,21.95554,21.85023,21.03508,1.166883,QSO,test
1237678858483597568,5245626858465417216,24.70554,22.40585,20.81726,19.85176,19.57173,0.4870702,GALAXY,train
1237666210854535936,2470389387855161344,21.8857,20.22803,19.60719,19.38448,19.24491,-0.0001980184,STAR,train
1237657401341838080,4237933796232812544,22.75972,22.33138,20.81303,19.78445,19.16647,0.6659987,GALAXY,train
1237666434188248576,8537740067132954624,24.52573,24.56507,21.85904,20.6003,19.56432,0.6919469,GALAXY,train
1237666434188248576,8537752161760860160,22.79176,22.59233,21.50218,20.39903,19.68608,0.7572532,GALAXY,train
1237667538011422720,7235187389022623744,18.18608,18.04931,17.75193,17.73256,17.78253,1.088803,QSO,test
1237667538012012544,3660407331679739904,19.2641,17.77944,17.10706,16.82521,16.66497,-0.0001976791,STAR,test
1237652944786686464,6949323435681273856,23.03303,21.09544,19.1943,18.51469,18.01897,0.3878387,GALAXY,train
1237663478724690432,1167607729703905280,21.71327,19.96071,18.68786,18.17053,17.76778,0.1645852,GALAXY,train
1237663478721937920,1164231403282393088,20.32781,19.06632,18.47048,18.13985,17.89553,0.09479433,GALAXY,train
1237679998237737984,10306544781401282560,24.43789,22.70037,21.57567,20.50386,19.82821,0.5762115,GALAXY,train
1237667430099976448,2641524521575671808,19.28256,17.57086,16.79196,16.39657,16.09448,0.03836939,GALAXY,train
1237667430101024768,11772617919900702720,18.6783,18.56849,18.28917,18.21018,17.68076,0.3109573,QSO,train
1237651538722554112,692469713770407936,21.55951,19.98315,18.36173,17.77722,17.37204,0.3526742,GALAXY,test
1237654879664865792,5381872843415115776,27.10127,21.44564,19.76561,18.72035,18.13984,0.5233803,GALAXY,train
1237654879665259264,5380809340356941824,22.53234,21.49669,19.64375,18.98023,18.57421,0.378709,GALAXY,train
1237653652375405056,6970710036000823296,23.2733,22.18751,20.6321,19.74818,19.26084,0.4870008,GALAXY,train
1237653652377043200,471923066549594112,23.66623,21.46025,19.74733,18.76491,18.23895,0.4779218,GALAXY,test
1237678622244864512,10602760086576453632,23.04723,22.91427,22.99111,22.17126,21.21337,0.9313549,GALAXY,train
1237657589783658752,1141676569727625216,21.96245,19.88753,18.29062,17.68828,17.34309,0.3390239,GALAXY,train
1237668294984728576,2812610737178961920,18.92981,17.81624,17.39396,17.10856,16.93358,0.04427182,GALAXY,train
1237678858477240832,6987412442210129920,22.87967,21.90276,22.01376,21.87333,21.08294,2.370471,QSO,train
1237662342166348032,1765544422881126400,21.94906,19.48184,18.09411,16.86405,16.20561,0.0001164814,STAR,train
1237653665257292288,5340278867671406592,23.64582,22.5292,21.11902,19.68053,19.12656,0.6780099,GALAXY,train
1237653665261027584,566459902952761344,19.75519,18.16221,17.35794,16.94063,16.70611,0.1045373,GALAXY,train
1237660961324990720,5014978180282603520,25.40071,21.92014,19.56422,18.92485,18.5644,0.4664853,GALAXY,train
1237660961327677952,1.431191454818e+18,19.77462,18.29778,17.87563,17.65845,17.66204,0.049568,GALAXY,train
1237667431716487424,2495097611325827072,24.98477,21.998,20.30022,18.3646,17.31518,7.991327e-05,STAR,train
1237654879664079360,657531627286587392,26.25848,21.962,20.22898,19.7197,19.31304,0.3630285,GALAXY,test
1237654879666766080,662092401451493376,20.54891,18.77037,17.51467,17.01419,16.62887,0.1833921,GALAXY,train
1237653652374487808,6962824338925180928,24.36881,22.74608,20.75183,19.90575,19.35456,0.5043948,GALAXY,train
1.23766835404e+18,2536774887138158592,17.84751,16.52499,15.95014,15.68786,15.5457,-0.0003682757,STAR,train
1237662341088674304,5322130054670735360,24.38507,21.25443,19.49255,18.78668,18.41773,0.3778846,GALAXY,train
1237680272038691840,5657824426047330304,25.72364,23.03721,21.04014,19.72521,18.91054,0.6592138,GALAXY,train
1237657589785624832,9265076087796553728,20.63578,20.41439,20.31782,20.00517,19.82034,1.69534,QSO,train
1237657589775073792,8237291363856832512,24.45142,21.51859,20.46167,19.93067,19.51852,-0.0001862192,STAR,train
1237680246807855872,5660154847351298048,23.33889,21.98714,20.46255,19.46317,18.94339,0.63022,GALAXY,train
1237680246808117760,6899667840749819904,25.25439,22.75798,21.25602,20.01969,19.5348,0.5368775,GALAXY,train
1237680246808380160,6899701375854467072,27.15929,22.70051,21.00303,19.87887,19.46968,0.5405381,GALAXY,test
1237652944786817280,6955968608142120960,21.5802,20.57191,20.3905,20.20049,20.35182,2.89748,QSO,train
1237650370476573184,4248039677884651520,22.45479,21.62992,21.44386,21.35073,20.83829,0.0004614203,STAR,test
1237680272038626304,8540041348862203904,22.55764,23.12675,21.87608,20.6733,19.82829,0.695454,GALAXY,train
1237678858484449536,5242223874020759552,19.15626,17.8138,16.79765,16.2748,15.88608,0.1403166,QSO,train
1237657401345049344,9324713317082880000,22.79371,22.47182,21.2807,20.13826,19.31719,0.680968,GALAXY,train
1237657401334891008,1192381096705157120,19.75681,18.48689,17.47693,16.9563,16.61813,0.1463097,GALAXY,train
1237657401344852224,935768821241767936,19.39632,17.27617,16.17484,15.65449,15.20023,0.119708,GALAXY,train
1237657401336398336,4224420243907565568,25.62371,22.70023,21.12361,19.93859,19.25019,0.6291084,GALAXY,test
1237661924478616320,5969532125237762048,22.92909,22.60838,20.95995,19.55458,18.62085,-0.0001373336,STAR,train
1237680122246398720,8051545365139445760,27.36843,22.43094,20.83237,19.63248,18.86167,0.6554138,GALAXY,train
1237680122246595072,8052603371243460608,21.7794,20.64518,18.97875,18.36097,17.95331,0.3134138,GALAXY,train
1237678618488537600,4821224439772633088,22.59323,22.02358,21.86487,21.92594,22.55944,0.53741,QSO,train
1237661972269236224,2032375290944055296,18.98802,17.92512,17.56229,17.41123,17.41349,-2.126671e-05,STAR,train
1237667538013192192,7226130712080177152,20.67499,19.86842,19.77686,19.74236,19.43085,2.308915,QSO,test
1237657608567456000,11585529143866185728,20.16698,20.08098,20.14427,19.85855,19.66567,2.050636,QSO,train
1237680246804840960,5656588025523886080,21.83943,21.77629,20.60705,19.80544,19.55602,0.5490854,GALAXY,train
1237652944786555136,845673188472940544,20.56053,18.51112,17.4491,16.99342,16.61498,0.1133807,GALAXY,train
1237680262926958848,8048035174150330368,24.55362,21.62312,20.58913,19.78403,19.89672,0.6165675,GALAXY,train
1237679998236688896,4910227162697848832,22.54264,21.88185,20.5309,19.73092,19.27667,0.4907817,GALAXY,train
1237679998237081856,4910282962912958464,22.57449,22.28132,20.28931,19.36939,18.81012,0.4816059,GALAXY,train
1237661971722404096,1830800992828942336,20.18216,18.35232,17.27345,16.83153,16.47283,0.1373082,GALAXY,test
1237661971728368640,5.449518097425e+18,25.32373,22.30239,20.49459,19.5481,18.78767,0.5038501,GALAXY,test
1237680272037839360,6888356339212638208,22.24721,19.30773,17.92509,17.39431,17.07972,0.2128639,GALAXY,train
1237680272034759680,5652263646258288640,23.20142,21.65676,20.38945,19.48816,18.9276,-0.0001722275,STAR,test
1237680272035349248,5653235064965978112,25.2542,22.60953,21.0792,19.95091,19.54768,0.5991167,GALAXY,train
1237680272035415040,5661239784041109504,22.64225,20.81143,19.0024,18.40315,17.95367,0.3423518,GALAXY,train
1237680272041247488,7420906176320395264,21.62115,21.34279,20.16104,18.65479,17.66638,-7.888919e-05,STAR,train
1237678858481369344,5253536199470241792,21.00585,19.00955,17.46504,16.80119,16.35259,0.2151138,GALAXY,train
1237678858452926720,4592715409657190400,23.53811,23.37748,21.15316,19.82874,19.44676,0.6264167,GALAXY,train
1237678622245061632,10601559970356156416,23.20226,24.53431,23.82936,22.09652,22.75254,0.5301569,GALAXY,test
1237665534932353536,3703249527847886848,20.23238,19.24946,19.04356,18.94587,18.91817,-0.0002758985,STAR,train
1237665534931632384,3703184931539755008,20.32845,19.4245,19.06592,18.87761,18.87157,0.0001648475,STAR,test
1237667430102139648,11778303494628595712,22.75712,22.79135,22.28076,21.63456,21.83693,0.8744593,GALAXY,train
1237663782589432832,4751406275035944960,24.20276,21.75866,20.16875,19.16595,18.59111,0.5021392,GALAXY,train
1237662336799081728,4704093193637222400,22.23756,22.52513,20.68222,19.46133,18.83153,0.6598983,GALAXY,train
1237660961327939840,6540502199017166848,22.93348,20.57471,18.853,18.21338,17.80852,0.3264136,GALAXY,test
1237680272039936512,6890602916631304192,22.41543,22.18979,20.56977,19.67478,19.26723,0.4833596,GALAXY,train
1237662341087625728,1568420399052515328,18.45179,16.53581,15.60624,15.17542,14.84507,0.07519736,GALAXY,test
1237662341093392896,1764330836972300288,19.01066,17.92526,17.26291,16.91928,16.64811,0.03282385,GALAXY,train
1237662341085462784,1566218626900453376,20.40665,18.22079,17.13235,16.68729,16.34318,0.141691,GALAXY,train
1237650370481815808,4251444864875780096,20.85931,19.81905,19.72314,19.69964,19.64133,0.0007564067,STAR,test
1237650370486272000,3261819793098958848,16.58941,15.12915,14.56525,14.38807,14.31969,0.0001042941,STAR,test
1237662341086969856,1567415720269080576,18.25378,16.58313,15.89249,15.52189,15.30048,0.04541309,GALAXY,test
1237662341088542976,1774456519866214400,21.64464,18.87211,17.81801,17.34803,16.99254,0.1109725,GALAXY,train
1237680241455726592,8055928843641575424,19.3772,17.42771,16.41689,16.00279,15.66193,0.1137839,GALAXY,test
1237657589785493760,7530129185458903040,20.51585,20.24112,20.2057,19.90496,19.80293,1.621598,QSO,train
1237657589785952512,9248274457944152064,21.52916,21.66393,21.72251,21.77715,21.13445,2.081617,QSO,test
1237680272038560512,6889500655805028352,22.12341,21.55746,20.58542,19.85185,19.40779,0.6489189,GALAXY,train
1237678860076450304,6929016829768914944,22.28893,21.60472,21.37432,21.39408,20.87335,2.701146,QSO,train
1237678858457711360,4610694076286916608,23.03421,21.76178,20.05691,18.89577,18.4569,0.573716,GALAXY,test
1237678858473832704,6969452743816927232,26.19394,23.96235,21.2559,19.88415,19.21673,0.6742269,GALAXY,train
1237663478724034816,424552261797046272,20.14869,19.24574,18.69993,18.42369,18.31868,0.2086649,GALAXY,train
1237662341084086528,5316730078893463552,24.28438,21.98381,20.70392,19.78396,19.39429,0.4861198,GALAXY,test
1237662341091688704,1766653555218868224,18.27611,17.07667,16.60136,16.33783,16.16579,0.0323952,GALAXY,train
1237662341082972416,1561634218218383360,19.03692,17.14964,16.19931,15.74957,15.4193,0.09138044,GALAXY,train
1237662341081596160,1560630364068669440,20.41988,18.59942,17.66353,17.25764,16.90723,0.1115472,GALAXY,train
1237680311227187456,8737113155032078336,19.26509,18.22012,17.82656,17.64138,17.58769,-0.0004241176,STAR,test
1237657401343017728,9339365964830234624,22.92736,24.14672,21.71825,20.6274,19.96332,0.6480679,GALAXY,train
1237666434191590144,7417537822465480704,23.76551,22.51311,20.61219,19.72001,19.1272,0.5773105,GALAXY,test
1237657401345901056,5277323043034912768,25.42519,22.29782,20.52947,19.53461,19.04271,0.5249239,GALAXY,train
1237657401340854528,4235862591086548992,22.59955,21.02378,19.52688,18.65291,18.18871,0.4159483,GALAXY,test
1237678824636416000,12755595063893186560,22.99822,22.15485,22.08356,22.02047,22.12553,1.865205,QSO,train
1237661958297748224,9569249107689887744,24.46953,23.57676,21.76145,20.48442,19.83298,0.6988617,GALAXY,train
1237678618486637312,1.0329226607727e+19,24.88311,21.48462,19.59986,19.5388,19.68916,4.11414,QSO,train
1237678879949324544,4915691730538616832,21.45356,20.76791,20.82399,20.85721,20.36657,2.549236,QSO,train
1237665126926320128,7253066273311184896,22.98389,21.95733,20.58774,19.84794,19.55155,0.3395573,GALAXY,train
1237657608577089792,5812169196386408448,20.77593,19.10901,18.82173,18.6787,18.72135,-0.0003249481,STAR,train
1237651714798846208,9616370066745743360,20.03447,19.94801,19.77898,19.72773,19.7445,1.15845,QSO,test
1237667537996743168,5070054367438329856,20.71819,18.03484,16.90619,16.56785,16.35909,2.983179e-05,STAR,train
1237667538000020224,12482941470012364800,24.74097,21.81865,21.38399,21.43681,21.35231,0.2184408,GALAXY,train
1237678622244930560,10602771081692731392,24.7618,23.50528,22.25379,21.97982,21.52896,0.7652147,GALAXY,test
1237678619039367168,10581417467527321600,23.65257,23.76629,22.90933,22.02259,21.35769,0.7244605,GALAXY,train
1237670961086201856,3649159052883238912,18.78726,17.12819,16.40216,16.11632,15.97406,-1.305648e-05,STAR,train
1237654879664538112,5381916274124412928,25.02263,22.10707,20.36452,19.53686,19.08878,0.494602,GALAXY,test
1237653652373766912,6962735828239144960,25.22674,22.17591,20.46942,19.55645,19.15983,0.4731573,GALAXY,test
1237672816510960128,7410710400617175040,21.30888,20.47238,20.39975,20.41795,20.13681,0.694058,QSO,train
1237672816514760960,8564802895643695104,19.23088,17.96239,17.82065,17.78402,17.82338,-0.0001108782,STAR,train
1237671256369135616,1843233437629048832,19.05087,16.49607,14.96787,13.62782,12.39726,8.571768e-05,STAR,train
1237661972270481920,5475481690091837440,21.84786,20.95987,20.85843,20.83487,20.43761,3.85709e-05,STAR,train
1237679503255077120,8158288428318087168,22.32961,21.89431,21.73312,21.01897,20.31232,1.711668,QSO,train
1237657589784707328,1145107320867416064,19.34375,18.07431,17.60009,17.26951,17.08463,0.05188603,GALAXY,test
1237657589780643840,1137186987900430336,19.27099,18.12522,17.67884,17.37751,17.24479,0.06552584,GALAXY,train
1237665441525137664,2403840070902638592,19.51559,18.07312,17.21544,16.7948,16.44413,0.09375799,GALAXY,train
1237680297269527040,8525321357940250624,21.51034,21.02409,21.08671,21.08473,21.71761,-0.0002444325,STAR,train
1237678439702462720,4793153357706713088,24.02046,20.5104,18.75779,18.09334,17.70065,0.3205462,GALAXY,train
1237660961327088384,12009066526164670464,24.69369,23.80136,21.80155,20.66028,19.84621,0.9987301,QSO,train
1237664879951086592,11760132415980591104,21.74668,22.23314,21.68136,20.96259,20.15859,0.9159158,GALAXY,train
1237664879951217152,11760120871108499456,21.97341,21.25766,21.89866,21.5234,23.10174,0.7528014,GALAXY,train
1237660961325318400,1427814029287516160,20.3372,18.24108,17.39116,16.91535,16.60453,0.0838319,GALAXY,train
1237667431716290560,12786872597901236224,19.55769,19.469,19.24376,19.25563,19.37844,1.320359,QSO,test
1237667431717011968,2495149013494425600,25.24017,22.72488,21.18456,19.22162,18.08441,0.0001530178,STAR,train
1237667431717732352,2497402462927874048,19.9559,19.75046,20.15038,20.38478,20.89714,-0.0003287509,STAR,train
1237678858482942464,5248971847765350400,23.0005,20.61602,18.94409,18.32247,17.85413,0.3265843,GALAXY,train
1237680272039478016,6890640300026648576,26.59091,21.09993,19.23971,18.57262,18.16926,0.3267915,GALAXY,train
1237662341087297792,1568512208273434624,20.14127,18.32061,17.4176,16.9338,16.60905,0.127938,GALAXY,train
